7 126 882 
3 31 681.785828 922.537598
4 31 693.490479 894.440063
5 31 684.362366 930.389893
6 31 674.060242 929.289062
0 32 834.000000 767.000000
1 32 837.539307 745.407593
2 32 839.986633 716.085693
3 32 852.584717 728.361938
4 32 864.929565 713.808350
5 32 854.967529 750.312378
6 32 844.419312 749.550781
0 33 1149.000000 753.000000
1 33 1151.677246 744.320618
2 33 1153.885986 744.298218
3 33 1162.669556 742.944702
4 33 1177.694702 743.183350
5 33 1165.588745 736.235718
6 33 1154.031616 735.568176
0 34 638.000000 744.000000
1 34 641.546143 737.758179
2 34 644.318909 708.975037
3 34 658.828796 720.039062
4 34 670.253052 691.704529
5 34 662.347107 699.724792
6 34 652.509644 699.312012
0 35 882.000000 980.000000
1 35 886.989014 942.299011
2 35 889.164795 911.659790
3 35 900.020630 951.314819
4 35 880.715759 934.062988
5 35 870.808594 970.531189
6 35 859.701477 969.314880
0 36 754.000000 963.000000
1 36 758.937378 941.239807
2 36 761.268799 910.802795
3 36 773.617188 934.923462
4 36 785.760254 906.854858
5 36 776.557861 943.028137
6 36 765.841980 941.821289
0 37 818.000000 941.000000
1 37 822.449585 933.745972
2 37 824.703003 903.286865
3 37 837.294312 898.462646
4 37 849.392578 884.893799
5 37 840.444336 891.790161
6 37 829.590759 890.818604
0 38 461.000000 927.000000
1 38 466.711304 892.861511
2 38 469.414795 863.082153
3 38 453.665344 910.620361
4 38 464.176086 882.869629
5 38 456.318542 918.257935
6 38 446.687439 917.458496
0 39 124.000000 1159.000000
1 39 101.174194 1132.726440
2 39 104.842163 1098.536133
3 39 66.666138 1111.552246
4 39 75.513306 1083.199707
5 39 68.453613 1119.437988
6 39 59.977417 1118.342896
0 40 899.000000 715.000000
1 40 902.104736 707.728516
2 40 904.180542 707.463013
3 40 916.396851 705.666260
4 40 929.083923 705.522034
5 40 919.070618 713.432800
6 40 908.394775 712.727051
0 41 1149.000000 936.000000
1 41 1152.858643 927.273804
2 41 1154.730591 927.048462
3 41 1162.844604 937.737610
4 41 1177.775513 924.430359
5 41 1166.059204 931.147339
6 41 1154.112305 929.974609
0 42 1149.000000 982.000000
1 42 1153.123413 957.478943
2 42 1154.755615 926.350342
3 42 1162.854614 937.054932
4 42 1177.815430 923.709595
5 42 1166.098022 930.434448
6 42 1154.163574 929.300354
0 43 766.000000 937.000000
1 43 770.233215 930.103943
2 43 772.430664 899.658630
3 43 784.828796 923.886902
4 43 797.168823 895.632996
5 43 788.005310 917.354492
6 43 777.458862 916.163879
0 44 580.000000 696.000000
1 44 583.445129 690.100525
2 44 585.347595 689.464600
3 44 542.138245 694.732483
4 44 552.139343 680.075134
5 44 544.466003 701.906006
6 44 534.988953 701.343323
0 45 1095.000000 1025.000000
1 45 1099.321655 969.744202
2 45 1101.090088 938.653931
3 45 1109.577393 979.456909
4 45 1124.172363 951.146362
5 45 1112.908325 988.109253
6 45 1101.150879 986.914246
0 46 -1131.000000 -37.000000
1 46 -1151.440674 -49.876587
2 46 -1144.843994 -75.287109
3 46 -1167.354736 -58.257690
4 46 -1162.437256 -85.897217
5 46 -1162.963135 -53.135254
6 46 -1171.370850 -53.299194
0 47 570.000000 924.000000
1 47 574.728088 903.344238
2 47 577.605408 873.419250
3 47 561.834045 893.153687
4 47 572.106323 879.695923
5 47 564.385864 900.957520
6 47 554.564880 899.924255
0 48 724.000000 900.000000
1 48 729.021179 863.906372
2 48 731.375366 833.928955
3 48 713.783081 854.941528
4 48 725.576416 826.731323
5 48 716.593994 862.885254
6 48 706.185059 862.000671
0 49 1115.000000 994.000000
1 49 1119.106079 969.770325
2 49 1120.894531 938.673584
3 49 1129.323486 964.233032
4 49 1110.327759 947.210083
5 49 1099.180908 984.018616
6 49 1087.366211 982.842163
0 50 835.000000 723.000000
1 50 838.384766 715.913086
2 50 840.301147 715.444458
3 50 852.921753 727.662903
4 50 865.286987 713.163086
5 50 855.327393 749.634644
6 50 844.765259 748.888000
0 51 786.000000 937.000000
1 51 790.369080 930.016785
2 51 792.733704 899.465576
3 51 805.178467 909.235474
4 51 817.264404 895.699036
5 51 808.509399 902.651001
6 51 797.746826 901.573364
0 52 948.000000 927.000000
1 52 952.391846 888.868835
2 52 954.551025 858.532776
3 52 965.339111 869.337524
4 52 978.950562 840.981079
5 52 968.397461 877.599365
6 52 957.244202 876.634216
0 53 1049.000000 743.000000
1 53 1051.821899 734.976074
2 53 1053.899536 734.814453
3 53 1064.159668 747.602539
4 53 1078.278564 733.343628
5 53 1067.123047 741.221252
6 53 1055.905151 740.549255
0 54 994.000000 981.000000
1 54 998.440674 957.622498
2 54 1000.383789 926.664001
3 54 1010.242554 951.891602
4 54 1024.043945 923.501343
5 54 1013.344177 960.349243
6 54 1001.921326 959.217896
0 55 1095.000000 963.000000
