Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 1000

feature | (x,y)=val
    148 | (-1.000000,-1.000000)=   -4 
    149 | (1509.091431,298.959259)=    0 
    150 | (-1.000000,-1.000000)=   -5 
    151 | (1653.991577,112.353722)=    0 
    152 | (415.838257,201.015015)=    0 
    153 | (1558.010376,407.991486)=    0 
    154 | (591.281738,79.013901)=    0 
    155 | (1174.936523,211.295700)=    0 
    156 | (468.783508,61.572285)=    0 
    157 | (-1.000000,-1.000000)=   -5 
    158 | (1177.762573,162.806000)=    0 
    159 | (907.444092,148.577682)=    0 
    160 | (1434.326904,91.057373)=    0 
    161 | (502.365479,820.573303)=    0 
    162 | (925.405518,113.123047)=    0 
    163 | (365.105530,497.095245)=    0 
    164 | (1634.826782,462.691711)=    0 
    165 | (966.995239,139.114166)=    0 
    166 | (1192.824829,491.584351)=    0 
    167 | (900.111389,29.189680)=    0 
    168 | (-1.000000,-1.000000)=   -5 
    169 | (1446.226196,289.059906)=    0 
    170 | (398.086243,202.095078)=    0 
    171 | (1689.721680,515.943787)=    0 
    172 | (-1.000000,-1.000000)=   -5 
    173 | (1568.338989,114.399094)=    0 
    174 | (643.982056,128.369324)=    0 
    175 | (397.367249,279.899261)=    0 
    176 | (928.259216,41.059925)=    0 
    177 | (489.333038,622.421814)=    0 
    178 | (1789.525635,113.170677)=    0 
    179 | (1171.827393,451.658051)=    0 
    180 | (472.171417,26.219038)=    0 
    181 | (1211.502441,87.355591)=    0 
    182 | (-1.000000,-1.000000)=   -4 
    183 | (1023.543884,160.727219)=    0 
    184 | (253.944534,442.391083)=    0 
    185 | (1488.506226,630.917297)=    0 
    186 | (485.353271,563.938049)=    0 
    187 | (490.810577,58.421124)=    0 
    188 | (201.911057,514.252258)=    0 
    189 | (-1.000000,-1.000000)=   -5 
    190 | (373.990997,202.394485)=    0 
    191 | (338.167419,202.341858)=    0 
    192 | (1570.639282,591.875671)=    0 
    193 | (1132.213013,254.709045)=    0 
    194 | (1281.250000,643.249023)=    0 
    195 | (1357.831299,408.478363)=    0 
    196 | (309.233704,202.187241)=    0 
    197 | (1044.526001,155.467819)=    0 
    198 | (74.102417,299.129364)=    0 
    199 | (210.181702,448.678345)=    0 
    200 | (271.486145,363.571472)=    0 
    201 | (749.041382,693.610474)=    0 
    202 | (-1.000000,-1.000000)=   -5 
    203 | (1214.376709,209.084976)=    0 
    204 | (128.643951,296.551544)=    0 
    205 | (-1.000000,-1.000000)=   -4 
    206 | (298.085602,173.061218)=    0 
    207 | (1580.145142,533.448425)=    0 
    208 | (1535.279541,416.505096)=    0 
    209 | (390.077545,433.201569)=    0 
    210 | (1614.528076,599.217712)=    0 
    211 | (1340.287964,576.270203)=    0 
    212 | (1194.598755,341.412048)=    0 
    213 | (73.604477,244.889816)=    0 
    214 | (1387.726562,501.750519)=    0 
    215 | (1619.851807,256.202393)=    0 
    216 | (961.758789,40.583187)=    0 
    217 | (1164.276489,506.672729)=    0 
    218 | (1112.380859,125.685028)=    0 
    219 | (532.646057,80.284645)=    0 
    220 | (480.264099,86.569176)=    0 
    221 | (1651.783813,92.460205)=    0 
    222 | (1548.788330,662.349609)=    0 
    223 | (1567.040771,452.986084)=    0 
    224 | (862.224487,248.089569)=    0 
    225 | (1138.921265,413.269043)=    0 
    226 | (1164.359375,130.003860)=    0 
    227 | (1699.779419,439.384888)=    0 
    228 | (542.514282,141.913986)=    0 
    229 | (181.306076,296.603973)=    0 
    230 | (1195.076904,413.271271)=    0 
    231 | (1020.117126,178.126053)=    0 
    232 | (1686.240234,93.079704)=    0 
    233 | (564.948608,30.685852)=    0 
    234 | (1203.864014,579.529968)=    0 
    235 | (1469.125366,634.643616)=    0 
    236 | (1814.690552,94.070953)=    0 
    237 | (472.311340,216.925674)=    0 
    238 | (217.608063,493.108063)=    0 
    239 | (1597.040527,658.792114)=    0 
    240 | (1644.328613,515.318604)=    0 
    241 | (662.759766,125.797966)=    0 
    242 | (1449.075806,514.781738)=    0 
    243 | (1170.045166,550.993896)=    0 
    244 | (1584.961914,428.338196)=    0 
    245 | (1337.690918,432.336884)=    0 
    246 | (1343.897095,288.275452)=    0 
    247 | (1627.477539,125.307289)=    0 
    248 | (1521.607910,656.182922)=    0 
    249 | (166.901917,470.135040)=    0 
    250 | (1406.632568,295.500000)=    0 
    251 | (285.721710,230.530228)=    0 
    252 | (353.152496,518.015198)=    0 
    253 | (118.966698,487.927399)=    0 
    254 | (1015.412048,123.421272)=    0 
    255 | (292.811249,140.990204)=    0 
    256 | (359.264862,623.927795)=    0 
    257 | (1655.223877,167.684509)=    0 
    258 | (1541.707764,93.493217)=    0 
    259 | (1598.779175,349.552704)=    0 
    260 | (278.774231,493.429230)=    0 
    261 | (1632.448853,545.113953)=    0 
    262 | (1843.519653,128.383514)=    0 
    263 | (287.570404,388.010925)=    0 
    264 | (1542.693115,553.842346)=    0 
    265 | (1679.024414,567.221741)=    0 
    266 | (1220.573364,544.544861)=    0 
    267 | (337.625549,492.526947)=    0 
    268 | (-1.000000,-1.000000)=   -4 
    269 | (98.487244,505.992889)=    0 
    270 | (1524.740845,521.341797)=    0 
    271 | (226.807190,300.136536)=    0 
    272 | (1615.606201,849.824829)=    0 
    273 | (1399.936523,92.691422)=    0 
    274 | (-1.000000,-1.000000)=   -4 
